pair_id,embedding,llm,faithfulness,answer_relevancy,context_precision,context_recall,aggregate
yxchia_multilingual-e5-large-instruct__gemini-2.5-pro,e5-large,gemini-2.5-pro,0.7658386506871355,0.5542483151862697,0.4612794612468995,0.732198245077033,0.6380856715878184
yxchia_multilingual-e5-large-instruct__ollama_hf.co_MaziyarPanahi_Phi-4-mini-instruct-GGUF:Q4_K_M,e5-large,Phi-4-mini (Q4),0.6700080783414115,0.7857278860872743,0.45005611669171813,0.7306958473625141,0.666802405237342
yxchia_multilingual-e5-large-instruct__ollama_hf.co_microsoft_Phi-3-mini-4k-instruct-gguf:Phi-3-mini-4k-instruct-q4.gguf,e5-large,Phi-3-mini-4k (Q4),0.753817527501738,0.7681639305136984,0.4551066217405396,0.7360025216085821,0.6965977666637709
yxchia_multilingual-e5-large-instruct__ollama_hf.co_bartowski_Llama-3.2-3B-Instruct-GGUF:Q4_K_M,e5-large,Llama-3.2-3B (Q4),0.6783243832486257,0.8793745161770727,0.45679012342488307,0.7235442447563661,0.6988545573131852
yxchia_multilingual-e5-large-instruct__ollama_hf.co_Qwen_Qwen2.5-3B-Instruct-GGUF:Q4_K_M,e5-large,Qwen2.5-3B (Q4),0.7309771525621981,0.8321385683704982,0.4551066217419706,0.7297655487049427,0.7060303107549172
yxchia_multilingual-e5-large-instruct__ollama_hf.co_MaziyarPanahi_Phi-3.5-mini-instruct-GGUF:Q4_K_M,e5-large,Phi-3.5-mini (Q4),0.7332831029800727,0.8327350809965264,0.45089786753318833,0.7356097045490986,0.7068743094525345
yxchia_multilingual-e5-large-instruct__claude-opus-4-1-20250805,e5-large,claude-opus-4-1,0.9107798804205596,0.5937345565123182,0.461840628473887,0.7329040768434708,0.7080908525010439
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__gemini-2.5-pro,Qwen3-0.6B (Q8),gemini-2.5-pro,0.8208221875804292,0.6306449202803593,0.5610500610090303,0.8104550211693069,0.7107778654350163
bge-m3__gemini-2.5-pro,bge-m3,gemini-2.5-pro,0.8343501335925578,0.6213533491932056,0.5561167227440049,0.80714504350868,0.7120839070946539
yxchia_multilingual-e5-large-instruct__azure-gpt5,e5-large,azure-gpt5,0.873787613692158,0.6903987044579557,0.4652076318407501,0.7329361435422043,0.7229697975366204
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_MaziyarPanahi_Phi-4-mini-instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Phi-4-mini (Q4),0.7112337998701634,0.8409969861645832,0.5496632996244247,0.8068564432200795,0.7274109200443333
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_MaziyarPanahi_Phi-3.5-mini-instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Phi-3.5-mini (Q4),0.7278075073292579,0.8241797035225458,0.5552749719013842,0.8070368184004547,0.7301355902087893
bge-m3__ollama_hf.co_bartowski_Llama-3.2-3B-Instruct-GGUF:Q4_K_M,bge-m3,Llama-3.2-3B (Q4),0.6961644993284921,0.8738836828206361,0.5437710437330388,0.8171731747489324,0.7311024307990888
yxchia_multilingual-e5-large-instruct__ollama_hf.co_tiiuae_Falcon3-3B-Instruct-GGUF:Q4_K_M,e5-large,Falcon3-3B (Q4),0.7549304953142086,0.9005802167331104,0.43153759817270854,0.7348841954902563,0.731942202329184
bge-m3__ollama_hf.co_MaziyarPanahi_Phi-3.5-mini-instruct-GGUF:Q4_K_M,bge-m3,Phi-3.5-mini (Q4),0.7260941706117146,0.8334160287077148,0.5928731761632482,0.798726806302564,0.7389097927199063
bge-m3__ollama_hf.co_MaziyarPanahi_Phi-4-mini-instruct-GGUF:Q4_K_M,bge-m3,Phi-4-mini (Q4),0.7206139187141155,0.8596723401040494,0.5732323231907548,0.810848018423776,0.7418785359973896
bge-m3__ollama_hf.co_microsoft_Phi-3-mini-4k-instruct-gguf:Phi-3-mini-4k-instruct-q4.gguf,bge-m3,Phi-3-mini-4k (Q4),0.7645198022191643,0.8612247440214791,0.5418069584360082,0.8043545119302695,0.7529721869743382
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_microsoft_Phi-3-mini-4k-instruct-gguf:Phi-3-mini-4k-instruct-q4.gguf,Qwen3-0.6B (Q8),Phi-3-mini-4k (Q4),0.7803589747217198,0.8510452476476671,0.5311447811075757,0.8055096418732782,0.7542370845918311
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_bartowski_Llama-3.2-3B-Instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Llama-3.2-3B (Q4),0.7428904808138319,0.9023592730132233,0.552188552148583,0.8086361449997813,0.7591652991591945
bge-m3__claude-opus-4-1-20250805,bge-m3,claude-opus-4-1,0.9313745235091047,0.6502141829776272,0.5622895622499859,0.8074810150567726,0.7608200782526044
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__claude-opus-4-1-20250805,Qwen3-0.6B (Q8),claude-opus-4-1,0.9339740199635594,0.6674527823950102,0.5586419752692713,0.799364860728497,0.7654903238306308
bge-m3__ollama_hf.co_Qwen_Qwen2.5-3B-Instruct-GGUF:Q4_K_M,bge-m3,Qwen2.5-3B (Q4),0.8023357422599847,0.8959584612519064,0.5336700336313552,0.815169006078097,0.7779727426136466
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__azure-gpt5,Qwen3-0.6B (Q8),azure-gpt5,0.9221250284958745,0.7379288009577278,0.5622895622507296,0.8055096418732782,0.7832375283231419
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_tiiuae_Falcon3-3B-Instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Falcon3-3B (Q4),0.8068835042917977,0.902070720382703,0.5476992143288393,0.805269141632778,0.7834413748605757
hf.co_Qwen_Qwen3-Embedding-0.6B-GGUF:Q8_0__ollama_hf.co_Qwen_Qwen2.5-3B-Instruct-GGUF:Q4_K_M,Qwen3-0.6B (Q8),Qwen2.5-3B (Q4),0.7867932398632623,0.913314668091271,0.5796857463101104,0.8170536534172897,0.7863542109764374
bge-m3__azure-gpt5,bge-m3,azure-gpt5,0.9038698378867979,0.7893760611654956,0.5401234567518473,0.8171731747489324,0.7881027623296306
bge-m3__ollama_hf.co_tiiuae_Falcon3-3B-Instruct-GGUF:Q4_K_M,bge-m3,Falcon3-3B (Q4),0.7999189146740511,0.923452367756897,0.5743546576484474,0.8132049207806784,0.7931946998044468
